date,year,country,state,location,activity,injury,time,species,unnamed_21,unnamed_22,incident_date,month,decade,sex_clean,age_numeric,age_group,fatal,activity_group,incident_type
26th August,2026,USA,Hawaii,"Ala Moana Beach Park, Oah'u",Surfing,No injury bump to surfboard,1330hrs,Tiger Shark,,,2026-08-26,August,2020,F,,Unknown,No,Surfing,Unprovoked
23rd August ,2026,USA,Florida,Boca Grande (island in the keys),Wading on a sandbar,Bite to foot,1700hrs,Large shark,,,2026-08-23,August,2020,M,43,30–44,No,Swimming/Wading,Unprovoked
19th August,2026,REUNION ISLAND,Saint-Gilles-les-Baines,Outer Reef Roches Noires,Spearfishiong,No injury,?,Bull shark 2.5m (8.2 ft),,,2026-08-19,August,2020,M,,Unknown,No,Fishing,Provoked
11th August,2026,IRELAND,Waterford,Ardemore County,Fishing,Bite to left leg,1615hrs,1.5m (5ft) Blue shark,,,2026-08-11,August,2020,M,27,18–29,No,Fishing,Provoked
8th August,2026,USA,Maine,Scarborough Beach Park,Operation of Rescue Torpedo,Bite to rescue torpedo sustained no injury,1300hrs,Great White Shark,,,2026-08-08,August,2020,M,71,60+,No,Other/Unknown,Unprovoked
29th July,2026,USA,South Carolina,Murrells Inlet Garden City,Swimming,Bite above the ankle,1715hrs,Small shark unknown,,,2026-07-29,July,2020,M,,Unknown,No,Swimming/Wading,Unprovoked
25th July,2026,USA,Florida,Daytona Beach Shores Volusia County,Swimming,Bite to left ankle and foot,1730hrs,4ft shark unknown species,,,2026-07-25,July,2020,M,21,18–29,No,Swimming/Wading,Unprovoked
24th July ,2026,BAHAMAS,Not stated,Nort stated,Snorkeling,Bite to left shin defensive wound to hand,?,Caribbean Reef Shark 1.5 - 2.1m,,,2026-07-24,July,2020,M,69,60+,No,Diving/Snorkeling,Unprovoked
24th July ,2026,FIJI,Not stated,Not stated,Spearfishing,Bite to lower right leg (calf),1700hrs,Gray Reef Shark,,,2026-07-24,July,2020,M,,Unknown,No,Fishing,Unprovoked
21st July,2026,AUSTRALIA,Queensland,Bundaberg,Hydrofoiling,No injuries,Day,3m shark unidentified,,,2026-07-21,July,2020,M,,Unknown,No,Other/Unknown,Unprovoked
18th July ,2026,AUSTRALIA,Tasmania,Coral Point Bruny Island,Spearfishing,Severe bite to forearm,0900hrs,Broadnose Sevengill shark 2m,,,2026-07-18,July,2020,M,31,30–44,No,Fishing,Unprovoked
3rd July,2026,USA,New York,Jones Beach State Park Long Island,Swimming,Small bite right foot,211200hrs,Baby Sand Tiger shark,,,2026-07-03,July,2020,M,,Unknown,No,Swimming/Wading,Unprovoked
